公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址,公司網站內公司治理資訊專區網址,股本(億元)
1217,愛之味股份有限公司,愛之味,食品工業,－,嘉義縣民雄鄉工業二路11號,65534366,陳冠翰,陳冠豪,陳冠翰,董事長,陳志展 陳冠豪 陳建華,05-2211521-4,1971/06/26,1989/10/28,新台幣                 10.0000元,4945133360,494513336,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號地下二樓,國富浩華聯合會計師事務所,黃鈴雯,李國銘,AGV,"NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial ZoneChiayi Hsien,Taiwan",05-2216287,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,蔡月足,總監,05-2211521,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,https://www.agv.com.tw/§????H±M°?/,49.4513336
1218,泰山企業股份有限公司,泰山,食品工業,－,彰化縣田中鎮興工路6號,59661701,劉偉龍,沈怡君,李淑惠,副總經理,林俐婉,04-8742211,1950/10/26,1989/11/11,新台幣                 10.0000元,4999990380,499999038,0,0,合併,每季,董事會,元大證券股份有限公司,(02)25863117,106045台北市大安區敦化南路二段67號B1,安永聯合會計師事務所,林素雯,楊智惠,TAISUN,"No.6, Xinggong Rd., Tianzhong Township.Changhua County 520, Taiwan (R.O.C.)",04-8758989,taisunir@taisun.com.tw,www.taisun.com.tw,李淑惠,副總經理,02-25064152#9307,taisunir@taisun.com.tw,https://www.taisun.com.tw/corporate/stakeholder/,https://www.taisun.com.tw/corporate/,49.9999038
1219,福壽實業股份有限公司,福壽,食品工業,－,台中市沙鹿區沙田路45號,56192402,洪堯昆,趙文強,徐沛妤,協理,陳祺炆,04-26362111,1955/02/07,1990/12/01,新台幣                 10.0000元,3412383640,341238364,0,0,合併,每年,董事會,凱基證券股份有限公司,02-23892999,100502台北市重慶南路一段2號5樓,群智聯合會計師事務所,張鈞富,吳乾萌,FWUSOW,"45,Sha-Tyan,Sha-LuTaichung Taiwan R.O.C",04-26358452,fwusow@fwusow.com.tw,www.fwusow.com.tw,徐沛妤,協理,04-26362111#456,pyhsu@fwusow.com.tw,http://www.fwusow.com.tw/information/itemlist/category/52.html,https://esg.fwusow.com.tw,34.1238364
1227,佳格食品股份有限公司,佳格,食品工業,－,台北市內湖區瑞光路610號10樓,22102473,曹德風,邱子權,曹博睿,執行長,李倍蓮,2709-2323,1986/06/06,1994/04/09,新台幣                 10.0000元,9150895910,915089591,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,方涵妮,陳昭宇,SFC,"10F., No. 610, Ruiguang Rd., Neihu Dist.Taipei,Taiwan,R.O.C.",2706-7955,spokesperson1@sfworldwide.com,https://www.sfworldwide.com/,曾玉如,副理,2709-2323 分機10860,Spokesperson2@sfworldwide.com,https://www.sfworldwide.com/esg#interested,https://www.sfworldwide.com/investors-governance-page,91.5089591
1229,聯華實業控股股份有限公司,聯華,食品工業,－,臺北市南港區南港路一段209號10樓,11996904,苗豐強,林信宏,林信宏,總經理,嚴文卿,(02)2786-1188,1955/07/20,1976/07/19,新台幣                 10.0000元,17104387320,1710438732,0,0,合併,每季,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,許淑敏,郭柔蘭,LHIHC,"10F., No. 209, Sec. 1, Nangang Rd., Nangang Dist.,Taipei, Taiwan, R.O.C.",(02)2786-3232,info@lhic.com.tw,https://www.lhicholdings.com/,張玉虎,財會中心經理,02-27861188 # 1622,ir@lhic.com.tw,https://www.lhicholdings.com/csr/index/crs-stakeholder/,https://www.lhicholdings.com/investors/2member/Board-of-directors-01/,171.0438732
1231,聯華食品工業股份有限公司,聯華食,食品工業,－,台北市迪化街一段148號,7569627,李開源,扶兆民,林志遠,財務處協理,陳姵岑,(02)25534546,1970/07/07,1995/11/02,新台幣                 10.0000元,2713222500,271322250,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,趙永祥,劉明賢,Lian Hwa Foods,"148 TI HWA STREET SEC.1,Taipei,Taiwan,R.O.C",(02)25533479,tomlin@lianhwa.com.tw,www.lianhwa.com.tw,林志遠,財務處協理,(02)25521666-1580,tomlin@lianhwa.com.tw,https://www.lianhwa.com.tw/column_list.php?content_category_sn=423,https://www.lianhwa.com.tw/column_list.php?content_category_sn=184,27.132225
1234,黑松股份有限公司,黑松,食品工業,－,台北市信義路四段296號3樓,20651901,張斌堂,張智鈞,杜居燦,財務處處長,沈榮宗,(02)2706-2191,1969/12/13,1999/03/12,新台幣                 10.0000元,4018710940,401871094,0,0,合併,每年,董事會,宏遠證券股份有限公司股務代理部,(02)7719-8899,台北市大安區信義路四段236號3樓,勤業眾信聯合會計師事務所,翁博仁,池瑞全,HEY SONG,"3RD FL. NO. 296, SEC. 4, HSIN YI RD.TAIPEI, TAIWAN, R.O.C.",(02)2755-2119,heysong@heysong.com.tw,www.heysong.com.tw,杜居燦,財務處處長,27062191#403,16222@heysong.com.tw,http://www.heysong.com.tw/Stakeholder/Stakeholder,https://www.heysong.com.tw/investor/corporateorganize,40.1871094
1301,台灣塑膠工業股份有限公司,台塑,塑膠工業,－,高雄市仁武區水管路100號,75708007,郭文筆,郭文筆,林勝冠,資深副總經理,簡嘉宏,(02)2712-2211,1954/11/05,1964/07/27,新台幣                 10.0000元,63657407810,6365740781,0,0,合併,每年,董事會,本公司股務組,(02)2718-9898,台北市內湖區南京東路六段380號10樓,安侯建業聯合會計師事務所,郭欣頤,張肇文,FPC,"(A1-11F) No.380, Section 6, Nanjing E. RdTaipei, Taiwan, R.O.C.",(02)2717-8108,formosa@fpc.com.tw,http://www.fpc.com.tw,劉祈廷,資深經理,(02)2712-2211,formosa@fpc.com.tw,http://www.fpc.com.tw/fpcw/index.php?op=res&id=18,https://www.fpc.com.tw/fpcw/index.php?op=res&id=11&c=64#,636.5740781
1303,南亞塑膠工業股份有限公司,南亞,塑膠工業,－,台北市內湖區南京東路六段380號(A1)7樓,75370905,吳嘉昭,鄒明仁,吳嘉昭,董事長,彭福榮,(02)27122211,1958/08/22,1967/11/05,新台幣                 10.0000元,79308215890,7930821589,0,0,合併,每年,董事會,本公司股務組,(02)27189898,台北市內湖區南京東路六段380號10樓,安侯建業聯合會計師事務所,郭欣頤,陳俊光,NPC,"7F, No. 380, Sec. 6, Nanjing E. Rd., Neihu Dist., Taipei City(A1)Taipei, Taiwan, R.O.C.",(02)27178533,nanya@npc.com.tw,http://www.npc.com.tw,彭福榮,副總經理,(02)27122211,nanya@npc.com.tw,http://www.npc.com.tw/j2npc/zhtw/stakeholder.jsp,https://www.npc.com.tw/j2npc/zhtw/co_governance.jsp,793.0821589
1304,台灣聚合化學品股份有限公司,台聚,塑膠工業,－,台北市內湖區基湖路37號12樓,11917107,吳亦圭,吳培基,吳銘宗,業務副總經理,周澤宜,02-87516888,1965/05/26,1972/05/20,新台幣                 10.0000元,11887635000,1188763500,0,0,合併,每年,股東會,本公司股務部,02-26503773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,陳俊宏,張正修,USI,"12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICTTAIPEI 114, TAIWAN, R.O.C.",02-26599524,mtwu@usig.com,www.usife.com.tw,周澤宜,代理發言人,02-87516888分機3318,kellychou@usig.com,https://www.usife.com.tw/ESG/zh-tw/ESG13.aspx,https://www.usife.com.tw/zh-tw/dirInvestor/frmInvestor,118.87635
1305,華夏海灣塑膠股份有限公司,華夏,塑膠工業,－,台北市內湖區基湖路37號12樓,11686106,吳亦圭,胡吉宏,吳建興,營業處處長,陳之國,(02)8751-6888,1964/04/29,1973/03/05,新台幣                 10.0000元,5810504940,581050494,0,0,合併,每年,股東會,本公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,張正修,劉怡青,CGPC,"12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu DistrictTaipei, Taiwan, R.O.C.",(02)2659-9516,jhwu@usig.com,https://www.cgpc.com.tw,吳建興,營業處處長,(02)2650-3749,jhwu@usig.com,https://www.cgpc.com.tw/ESG/tw/issue-SDGs.aspx,https://www.cgpc.com.tw/zh-tw/dirServices/frmServices.aspx,58.1050494
1307,三芳化學工業股份有限公司,三芳,塑膠工業,－,高雄市三民區通化街120號,83387850,林孟經,林至逸,李禮權,總監,陳偉鉅,(07)3712111,1973/06/16,1985/11/23,新台幣                 10.0000元,3978181260,397818126,0,0,合併,每年,董事會,中國信託代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信會計師事務所,王騰葦,劉裕祥,SAN FANG,"402 FENGJEN RD.,JENWU SHIANG,KAOSHIUNG,TAIWAN",(07)3711940,jui@sanfang.com.tw,http://www.sanfang.com.tw,李禮權,總監,073712111,leo@sanfang.com.tw,http://www.sanfang.com.tw/main/ems_c01.asp,https://www.sanfang.com/interested,39.7818126
1308,亞洲聚合股份有限公司,亞聚,塑膠工業,－,高雄市林園區工業一路3號,20747385,吳亦圭,吳培基,黃克名,業務處處長,張勝川,(02)8751-6888,1977/01/25,1986/06/20,新台幣                 10.0000元,5937439190,593743919,0,0,合併,每年,股東會,亞洲聚合股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,邱政俊,莊碧玉,APC,"NO.3,INDUSTRIAL 1ST RD., LINYUAN DIST.,KAOHSIUNG, TAIWAN, 832 ROC",(02)2659-9553,gltzeng@usig.com,https://www.apc.com.tw/,張勝川,會計部經理,(02)2650-3351,david.chang@usig.com,https://www.apc.com.tw/ESG/zh-tw/ESG13.aspx,https://www.apc.com.tw/zh-tw/dirServices/frmServices.aspx,59.3743919
1309,台達化學工業股份有限公司,台達化,塑膠工業,－,台北市內湖區基湖路37號12樓,11893409,吳亦圭,吳培基,黃俊豪,協理,陳錫明,(02)8751-6888,1960/04/06,1986/06/27,新台幣                 10.0000元,3975868480,397586848,0,0,合併,每年,股東會,台達化學工業股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,陳俊宏,劉怡青,TTC,"12th Floor, No.37, Ji-Hu Rd.,Taipei 114,Taiwan,R.O.C.",(02)2659-9504,chunhao@usig.com,http://www.ttc.com.tw,黃俊豪,發言人,(02)8751-6888#3278,chunhao@usig.com,https://www.ttc.com.tw/zh-tw/dirCSRnew/frmStakeholder.aspx,https://www.ttc.com.tw/zh-tw/dirServices/frmServices2.aspx,39.7586848
1310,台灣苯乙烯工業股份有限公司,台苯,塑膠工業,－,台北市中正區羅斯福路一段六號八樓之一,20844865,林文淵,仲崇國,呂政欣,協理,陳明男,02-23966007,1979/11/16,1987/08/06,新台幣                 10.0000元,5278697640,527869764,0,0,合併,每年,董事會,康和綜合證券股份有限公司,02-8787-1118,台北市信義區基隆路一段176號B1,安侯建業聯合會計師事務所,尹元聖,吳麟,T.S.M.C.,"8F-1, No. 6, Sec. 1, Roosevelt Rd., Taipei City , TaiwanTaipei,Taiwan",23960755,investors@mail.smct.com.tw,http://www.smct.com.tw/,陳明男,協理,02-23966007,investors@mail.smct.com.tw,http://www.smct.com.tw/contact/contactUs,https://www.smct.com.tw/investors/corporateGovernance,52.7869764
1312,國喬石油化學股份有限公司,國喬,塑膠工業,－,臺北市敦化北路135號8樓,4212250,邱德馨,曾嘉雄,沈美佑,經理,薛鴻敏,(02)2175-4567,1973/09/25,1988/12/21,新台幣                 10.0000元,11266203280,1106620328,0,20000000,合併,每年,董事會,凱基證券(股)公司代理部,(02)2389-2999,台北市重慶南路一段2號5 樓,安侯建業聯合會計師事務所,吳政諺,連淑凌,GPPC,"8F., No. 135, Dunhua N. Rd., Songshan Dist.,TAIPEI, TAIWAN  R.O.C.",(02)2545-8755,gppc@gppc.com.tw,http://www.gppc.com.tw,沈美佑,經理,(02)2175-4567,gppc@gppc.com.tw,http://www.gppc.com.tw/gppc/Investment-2.asp,https://www.gppc.com.tw/gppc/Investment.asp,112.6620328
1313,聯成化學科技股份有限公司,聯成,塑膠工業,－,台北市南港區南港路一段209號A棟9樓,4748660,苗豐強,畢淑蒨,陳逸蓁,經理,徐桂梅,(02)26517889,1976/08/14,1989/03/27,新台幣                 10.0000元,13596896070,1359689607,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5F,勤業眾信聯合會計師事務所,劉建良,王儀雯,UPC,"9F., Building A, No. 209 NanGang Rd., Sec. 1, NanGang Dist., Taipei, 115,Taiwan, R.O.C",(02)26515818,ir@upc.com.tw,http://www.upc.com.tw,陳逸蓁,經理,(02)26517889-6003,ir@upc.com.tw,https://www.upc.com.tw/zh-TW/Html/stakeholder_engagement,https://www.upc.com.tw/zh-TW/Html/corporate_governance,135.9689607
1314,中國石油化學工業開發(股)公司,中石化,塑膠工業,－,高雄市大社區經建路1號,3084741,陳瑞隆,陳穎俊(代理),陳穎俊,總經理(代理),李建憲、陳台彰,07-3513521,1969/07/08,1991/07/12,新台幣                 10.0000元,37848501300,3784850130,0,0,合併,每年,股東會,本公司股務室,02-89782589,台北市松山區東興路12號3樓,安侯建業會計師事務所,吳政諺,李逢暉,CPDC,"No. 1, Jingjian Road, Dashe DistrictKaohsiung, Taiwan, R. O. C.",07-3513642,investors@cpdc.com.tw,www.cpdc.com.tw,季天蔚,副理,02-87878461,investors@cpdc.com.tw,https://reurl.cc/9vkEQa,https://www.cpdc.com.tw/tw/ir_info,378.485013
1316,上曜建設開發股份有限公司,上曜,建材營造,－,台南市安平區永華路二段248號20樓之6,73654033,張祐銘,曾鵬光,郭育政,財務部副總經理,朱麗娟,(06)2988318,1979/12/11,1992/10/15,新台幣                 10.0000元,3670890190,367089019,0,0,合併,每半會計年度,董事會,元大證券股份有限公司,(02)2586-5859,臺北市大安區敦化南路2段67號地下一樓,安侯建業聯合會計師事務所,許振隆,高鈺倫,SUN  YAD,"20F.-6, No.248, Sec. 2, Yonghua RdAnping Dist., Tainan City 708, Taiwan",(06)2988311,sunyad_101@yahoo.com.tw,www.sunyad.com.tw,郭育政,財務部副總經理,06-2988318,sunyad_101@yahoo.com.tw,www.sunyad.com.tw,https://sunyad.com.tw/management.asp#,36.7089019
1319,東陽實業廠股份有限公司,東陽,汽車工業,－,台南市安和路二段98號,68326665,吳永茂,吳永祥,許芳華,助理副總經理,洪櫻芬,06-3560511,1967/10/30,1994/12/12,新台幣                 10.0000元,5914770680,591477068,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5F,安永聯合會計師事務所,胡子仁,洪國森,TYG,"98 AN HO ROAD.,SEC,2TAINAN,TAIWAN,R,O,C",06-3566055,15469@tyg.com.tw,WWW.TYG.COM.TW,黃和傑,專案經理,06-3560511-6170,15531@tyg.com.tw,https://www.tyg.com.tw/traditiona-relationship.html,https://www.tyg.com.tw/governance-structure.html,59.1477068
1326,台灣化學纖維股份有限公司,台化,塑膠工業,－,彰化市中山路3段359號,58650902,洪福源,呂文進,洪福源,董事長,呂文進,(02)27122211,1965/03/05,1984/12/20,新台幣                 10.0000元,58611862910,5861186291,0,0,合併,每年,董事會,台灣化學纖維股份有限公司股務室,(02)27189898,台北市內湖區南京東路六段380號10樓,資誠聯合會計師事務所,阮呂曼玉,徐聖忠,FCFC,"10F., No.388, Sec.6, Nanjing E. Rd.Taipei, Taiwan, R.O.C",(02)27133229,fcfc@fcfc.com.tw,http://www.fcfc.com.tw,劉佳儒,資深經理,(02)27122211-8410,u127129@fcfc.com.tw,https://www.fcfc.com.tw/data-22337,https://www.fcfc.com.tw/principles-organizations,586.1186291
1337,亞洲塑膠再生資源控股有限公司,再生-KY,塑膠工業,KY,高雄市苓雅區四維四路190號12樓之2,26068617,丁金山,丁金礦,王維民,財務協理,丁華雄,(07)2696099,2010/01/08,2011/08/17,新台幣                 10.0000元,2689547290,268954729,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,(02)2586-5859,台北市大安區敦化南路二段67號地下1樓,德昌聯合會計師事務所,林兆民,史岱平,Asia Plastic,"12F.-2, No. 190, Siwei 4th Rd.Lingya Dist.,Kaohsiung City 802 Taiwan",(07)2696099,weimin831@gmail.com,http://asia-recycle.com,王維民,財務主管,(07)2696099,weimin831@gmail.com,http://asia-recycle.com(?]?m??),http://asia-recycle.com/governance/organized/index.html,26.8954729
1402,遠東新世紀股份有限公司,遠東新,紡織纖維,－,台北市大安區敦化南路二段207號36樓,3522600,徐旭東,"吳高山,鄭澄宇",鄭澄宇,行政總部總經理,王健誠,02-27338000,1954/01/13,1967/04/14,新台幣                 10.0000元,53528752270,5352875227,0,0,合併,每年,股東會,亞東證券股份有限公司,02-7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,黃國寧,邵志明,FENC,"36F,Taipei Metro Tower No.207,Tun Hwa South Road,Sec.2Taipei,Taiwan,R.O.C.",02-27367184,csostaff@metro.feg.com.tw,www.fenc.com,汪承雯,協理,02-27338000轉8537,ir@fenc.com,https://csr.fenc.com/Identification-of-Stakeholders-and-Topics?lang=zh,https://www.fenc.com/zh-TW/cg,535.2875227
1409,新光合成纖維股份有限公司,新纖,紡織纖維,－,台北市大安區仁愛路三段136號5樓,7435515,吳東昇,歐金達,許毓麟,協理,何浩寧,25071259,1967/04/25,1973/08/31,新台幣                 10.0000元,16184092860,1618409286,0,0,合併,每年,董事會,新光證券(股)公司股務代理部,02-23118787,台北市中正區重慶南路一段66之1號11樓,勤業眾信聯合會計師事務所,陳文香,徐文亞,SSFC,"5th Floor, No. 136, Section 3, Ren'ai Road, Taipei City.TAIPEI, TAIWAN, R.O.C.",25072264,analysis@shinkong.com.tw,https://www.shinkong.com.tw/,許毓麟,協理,25071259#7300,analysis@shinkong.com.tw,https://www.shinkong.com.tw/front/investors,https://www.shinkong.com.tw/front/investors,161.8409286
